query,precision@10,time@10
fahrer,0.0,25.188966083000196
Call-Center-Agent/in,1.0,19.959677457998623
CNC,1.0,33.10528329199951
Technische Chemie,0.95,27.409299290999115
Pädagoge/-in,0.7,23.94631012500031
Hausmeister,0.9,27.44897920800031
Assistent/in der Leitung,0.55,22.253264499999204
Serviceleiter,0.25,27.626152583001385
leitung,0.05,20.636538709000888
Industriemechaniker,1.0,27.380003082998883
einzelhandel,0.55,30.28112825000062
immobilien,0.9,31.89254283400078
ingenieur,0.7,26.475727707998885
Kaufmann/-frau Gesundheitswesen,1.0,20.490076166999643
Business Analyst,0.6,37.33731616700061
Versicherungskaufmann/-frau,1.0,16.581638415998896
Logistikmeister,0.85,24.888435082999422
Einkauf IT,0.9,30.256093792000684
Sporttherapeutin,0.9,25.46903858299993
Lagerleiter/in,0.8,19.823819208000714
Referent/in Presse- und Öffentlichkeitsarbeit,0.0,33.509840124999755
fachinformatiker,0.0,35.882783416000166
Wirtschaftsingenieur Bau,0.0,36.580523833999905
Qualität,0.0,26.92752925000059
büromanagement,0.5,43.173401917001684
Kraftfahrer,1.0,25.00633629100048
Produktmanager/in,0.0,28.265898833000392
Biologielaborant/in,1.0,22.945014749999245
Leiter/in Einkauf,0.8,27.205054165999172
Ausbilder,0.9,19.49742624999999
Procurement,0.0,29.752718125000683
Leitung,0.85,36.71852691599997
